Name,Address,ZipCode,City,Hours,Phones,GymWeb,Url
"Tamura, club deportivo","C/ Ramón Calabuig, nº 50",28053,MADRID,"Lunes, Miercoles Viernes de 18.30 a 19.30",914774544,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=188
"Tendo, gimnasio","Pº de las Delicias, nº 47",28045,MADRID,L-X de 17:30 a 21:30,914674329,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=187
Tera club deportivo,C/ Lago Iseo 5,28032,,,610916693,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=902
"Tomas breton, nueva a.p.a.","C/ Alejandro Dumas, nº 4",,,,638305333,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=709
"Valdebernardo,  ampa c.e.i.p.",C/ Tren de Arganda S/N,28032,,,913714446-642627743,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=839
Vallecas polideportivo municipal,"C/ Payaso Fofo, s/n",28018,MADRID,,626638503,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=323
"Virgen de atocha, colegio","Avda. Ciudad Barcelona, nº 1",28007,MADRID,,5524805,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=198
"Virgen de mirasierra, colegio","C/ La Maso, nº 103",28034,MADRID,,917387300,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=56
Washi c.e.f.,"C/ Real Madrid, nº 20",28025,MADRID,,914613420,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=129
Winners,C/ CALERUEGA 73,28033,,,608996618,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=949
Wlac yudo,"C/ Virgen del Castañar 12, bajo",28027,,,91.677.78.37-654745790,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=802
Wu ming,"C/ Francisco Silvela, nº 7 2º B",28028,MADRID,,914011718,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=658
Yudo r. ortega,"C/ Maldonado, nº 13",28006,MADRID,,915633131,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=223
Zanshin-madrid,"C/ Laurel, nº 7",28005,,,915176515,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=701
"Zazuar, colegio","C/ Zazuar, nº 17",28031,MADRID,,913314845,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=153
