Name,Address,ZipCode,City,Hours,Phones,GymWeb,Url
Club judoca escuelas catolicas de madrid,"C/ HACIENDA DE PAVONES 5, 2ºDCHA",28030,,,913288007,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=904
Club sagrados corazones,"C/ Acantita 3, 3ºB",28021,,,652260147,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=938
Colegio aleman de madrid,AVDA. CONCHA ESPINA 32,28016,,,917823670-626627539,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=932
Colegio ermita del santo,"Pº Ermita del Santo, 18",28011,MADRID,,914642590,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=291
Colegio menesiano,Avda. Brasilia 11,28028,,,917269804,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=947
Colegio tres olivos,"C/ Casildea de Vandalia, nº  3",28034,,,917352333,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=748
Colegio valdefuentes,C/ Ana Austria 6,28050,,,902252292,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=763
"Concepcion arenal, a.p.a.","C/ Antonio López, nº 1",28019,MADRID,,915697838,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=44
Costa rica c.e.i.p.,"C/ Camarena , nº 247",28047,,,917174800,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=754
"Crono, ocio cultura y deporte",Protasio Gómez 3,28027,,,917413555-600578852,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=881
Dinamo e.d.y v- s.l.,"C/ Gran Vía 73, 7º planta D",28013,,,915914954-625171045,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=840
